feature,bucket,asset,observations,mean_return_1d,median_return_1d,annualized_vol_from_daily_returns,mean_realized_vol_30d,positive_day_share,method_note
btc_eth_share_full_top100,high,BTC,754,0.0035899349450099504,0.0017392701475970052,0.6975402941227231,0.614423348292894,0.5437665782493368,Descriptive same-day return distribution by lagged monthly context bucket.
btc_eth_share_full_top100,high,ETH,754,0.005750460374350559,0.002890758419126782,0.9281072693157296,0.8363796300563978,0.5450928381962865,Descriptive same-day return distribution by lagged monthly context bucket.
btc_eth_share_full_top100,low,BTC,755,-0.00027610357431620373,-0.0006877469847899054,0.6642519346695074,0.642571682244445,0.48344370860927155,Descriptive same-day return distribution by lagged monthly context bucket.
btc_eth_share_full_top100,low,ETH,755,0.00034071009062155034,8.485009371783647e-06,0.8807117491513283,0.8375410247950893,0.5006622516556292,Descriptive same-day return distribution by lagged monthly context bucket.
btc_eth_share_full_top100,mid,BTC,754,0.0009998600940842707,-0.00022080661308621075,0.4638145531185626,0.45455978625745375,0.4946949602122016,Descriptive same-day return distribution by lagged monthly context bucket.
btc_eth_share_full_top100,mid,ETH,754,0.00010910472812748596,0.00046468091794271693,0.6420419263951167,0.6271970201302928,0.5106100795755968,Descriptive same-day return distribution by lagged monthly context bucket.
top10_share_full_top100,high,BTC,754,0.0017761593914325305,0.0008983952239263182,0.6751639298816177,0.5826341067195464,0.5119363395225465,Descriptive same-day return distribution by lagged monthly context bucket.
top10_share_full_top100,high,ETH,754,0.002188666838064293,0.0009469212414700001,0.9324986234915607,0.8542081343165692,0.5145888594164456,Descriptive same-day return distribution by lagged monthly context bucket.
top10_share_full_top100,mid,BTC,754,0.0032108244605944447,0.0010963267240630126,0.4831515470106274,0.47670471138723153,0.5251989389920424,Descriptive same-day return distribution by lagged monthly context bucket.
top10_share_full_top100,mid,ETH,754,0.0036892192496599027,0.0014971771250587018,0.591717676909494,0.570124830601425,0.5318302387267905,Descriptive same-day return distribution by lagged monthly context bucket.
top10_share_full_top100,low,BTC,755,-0.0006727663093510331,-0.0006909303554284429,0.6735248665320862,0.6522032247589507,0.4847682119205298,Descriptive same-day return distribution by lagged monthly context bucket.
top10_share_full_top100,low,ETH,755,0.00032241337158102356,0.0008984766837858427,0.9137075177777819,0.8767327316727015,0.5099337748344371,Descriptive same-day return distribution by lagged monthly context bucket.
stable_like_share_full_top100,low,BTC,755,0.0016661505907133052,0.0014899723498342787,0.7406961071161415,0.667778765339782,0.5324503311258278,Descriptive same-day return distribution by lagged monthly context bucket.
stable_like_share_full_top100,low,ETH,755,0.003619734427671444,0.002659428269003117,0.9985951991446637,0.8915762539654629,0.5337748344370861,Descriptive same-day return distribution by lagged monthly context bucket.
stable_like_share_full_top100,mid,BTC,754,0.002437087463677141,0.0014152639816247259,0.5376689013096019,0.5187826114464741,0.5238726790450928,Descriptive same-day return distribution by lagged monthly context bucket.
stable_like_share_full_top100,mid,ETH,754,0.0025719151266955374,0.0021435937687995787,0.7457418984367246,0.7448747945486187,0.53315649867374,Descriptive same-day return distribution by lagged monthly context bucket.
stable_like_share_full_top100,high,BTC,754,0.00020787747648169611,-0.0008688742727286924,0.5540368618913443,0.5249600088638479,0.46551724137931033,Descriptive same-day return distribution by lagged monthly context bucket.
stable_like_share_full_top100,high,ETH,754,4.276800089311713e-06,-0.0002126351844545793,0.7075001549754334,0.6645949617075255,0.48938992042440316,Descriptive same-day return distribution by lagged monthly context bucket.
productized_share_full_top100,low,BTC,755,0.0026542460168646298,0.0026156033967845715,0.7803842504365086,0.7229134200142757,0.5390728476821192,Descriptive same-day return distribution by lagged monthly context bucket.
productized_share_full_top100,low,ETH,755,0.004964107874315601,0.0044628474445207456,1.0351474151314959,0.9649993616940894,0.5509933774834437,Descriptive same-day return distribution by lagged monthly context bucket.
productized_share_full_top100,mid,BTC,754,0.0009142246165904393,-0.000288546763935138,0.5424662943133797,0.5254678662101577,0.4920424403183024,Descriptive same-day return distribution by lagged monthly context bucket.
productized_share_full_top100,mid,ETH,754,0.0012234260478968901,-0.0002126351844545793,0.7240057508204953,0.688286590125669,0.4946949602122016,Descriptive same-day return distribution by lagged monthly context bucket.
productized_share_full_top100,high,BTC,754,0.0007413344260296043,-0.00033046784329948675,0.4913694027800008,0.46306697654148704,0.4907161803713528,Descriptive same-day return distribution by lagged monthly context bucket.
productized_share_full_top100,high,ETH,754,6.6094435877750085e-06,0.0005740931354653034,0.6750658378047133,0.6476626802748878,0.5106100795755968,Descriptive same-day return distribution by lagged monthly context bucket.
clean_risk_share_full_top100,high,BTC,754,0.002639896735300886,0.002639877710584382,0.7749571622587259,0.7195502197325747,0.5397877984084881,Descriptive same-day return distribution by lagged monthly context bucket.
clean_risk_share_full_top100,high,ETH,754,0.00480900888771988,0.004282886530672547,1.0288113690132892,0.9597074468232505,0.5503978779840849,Descriptive same-day return distribution by lagged monthly context bucket.
clean_risk_share_full_top100,mid,BTC,754,0.0015753750718048838,0.0008711583536330503,0.5288067730676514,0.5011228924643326,0.5172413793103449,Descriptive same-day return distribution by lagged monthly context bucket.
clean_risk_share_full_top100,mid,ETH,754,0.0014336709016926467,0.001477274490231384,0.7223947246999323,0.6856647289456432,0.5185676392572944,Descriptive same-day return distribution by lagged monthly context bucket.
clean_risk_share_full_top100,low,BTC,755,9.792360041133586e-05,-0.0008512947757318701,0.5143950366001687,0.49108261847556306,0.4649006622516556,Descriptive same-day return distribution by lagged monthly context bucket.
clean_risk_share_full_top100,low,ETH,755,-4.189715964149503e-05,-0.000353400277056215,0.6872251283711068,0.6559862879884919,0.48741721854304637,Descriptive same-day return distribution by lagged monthly context bucket.
clean_risk_entrants,high,BTC,754,0.0010002479641633636,0.001289105725315931,0.553047875202244,0.5220971982879832,0.5225464190981433,Descriptive same-day return distribution by lagged monthly context bucket.
clean_risk_entrants,high,ETH,754,0.0028913408086957636,0.0019107909089712827,0.8177656702266525,0.7469282822902826,0.53315649867374,Descriptive same-day return distribution by lagged monthly context bucket.
clean_risk_entrants,mid,BTC,754,0.0023572482001971836,-0.0003402903290056214,0.7341746856551715,0.6342503306772748,0.4946949602122016,Descriptive same-day return distribution by lagged monthly context bucket.
clean_risk_entrants,mid,ETH,754,0.002344181883820156,0.0015567625935203333,0.9378570928506028,0.847403495883761,0.5172413793103449,Descriptive same-day return distribution by lagged monthly context bucket.
clean_risk_entrants,low,BTC,755,0.0009545631164774255,0.0002560749281275143,0.5482726426907345,0.5553230022592234,0.5046357615894039,Descriptive same-day return distribution by lagged monthly context bucket.
clean_risk_entrants,low,ETH,755,0.0009639259543453149,0.0002624734344642832,0.7127564002887841,0.7069590824077195,0.5059602649006623,Descriptive same-day return distribution by lagged monthly context bucket.
